Name,Variable,Value
An Khánh,Multidimensional Poverty Index,0.67
Ba Đình,Multidimensional Poverty Index,0.22
Ba Vì,Multidimensional Poverty Index,0.37
Bạch Mai,Multidimensional Poverty Index,0.34
Bất Bạt,Multidimensional Poverty Index,0.37
Bát Tràng,Multidimensional Poverty Index,0.63
Bình Minh,Multidimensional Poverty Index,0.52
Bồ Đề,Multidimensional Poverty Index,0.35
Cầu Giấy,Multidimensional Poverty Index,0.43
Chương Dương,Multidimensional Poverty Index,0.54
Chương Mỹ,Multidimensional Poverty Index,0.35
Chuyên Mỹ,Multidimensional Poverty Index,0.84
Cổ Đô,Multidimensional Poverty Index,0.37
Cửa Nam,Multidimensional Poverty Index,0.18
Đa Phúc,Multidimensional Poverty Index,0.11
Đại Mỗ,Multidimensional Poverty Index,0.64
Đại Thanh,Multidimensional Poverty Index,0.2
Đại Xuyên,Multidimensional Poverty Index,0.83
Dân Hòa,Multidimensional Poverty Index,0.64
Đan Phượng,Multidimensional Poverty Index,0.57
Định Công,Multidimensional Poverty Index,0.38
Đoài Phương,Multidimensional Poverty Index,0.84
Đông Anh,Multidimensional Poverty Index,0.83
Đống Đa,Multidimensional Poverty Index,0.4
Đông Ngạc,Multidimensional Poverty Index,0.46
Dương Hòa,Multidimensional Poverty Index,0.68
Dương Nội,Multidimensional Poverty Index,0.62
Gia Lâm,Multidimensional Poverty Index,0.64
Giảng Võ,Multidimensional Poverty Index,0.31
Hạ Bằng,Multidimensional Poverty Index,0.51
Hà Đông,Multidimensional Poverty Index,0.55
Hai Bà Trưng,Multidimensional Poverty Index,0.31
Hát Môn,Multidimensional Poverty Index,0.75
Hòa Lạc,Multidimensional Poverty Index,0.55
Hòa Phú,Multidimensional Poverty Index,0.43
Hòa Xá,Multidimensional Poverty Index,0.82
Hoài Đức,Multidimensional Poverty Index,0.66
Hoàn Kiếm,Multidimensional Poverty Index,0.13
Hoàng Liệt,Multidimensional Poverty Index,0.35
Hoàng Mai,Multidimensional Poverty Index,0.48
Hồng Hà,Multidimensional Poverty Index,0.27
Hồng Sơn,Multidimensional Poverty Index,0.7
Hồng Vân,Multidimensional Poverty Index,0.51
Hưng Đạo,Multidimensional Poverty Index,0.44
Hương Sơn,Multidimensional Poverty Index,0.7
Khương Đình,Multidimensional Poverty Index,0.51
Kiến Hưng,Multidimensional Poverty Index,0.46
Kiều Phú,Multidimensional Poverty Index,0.44
Kim Anh,Multidimensional Poverty Index,0.03
Kim Liên,Multidimensional Poverty Index,0.38
Láng,Multidimensional Poverty Index,0.35
Liên Minh,Multidimensional Poverty Index,0.56
Lĩnh Nam,Multidimensional Poverty Index,0.48
Long Biên,Multidimensional Poverty Index,0.37
Mê Linh,Multidimensional Poverty Index,0.32
Minh Châu,Multidimensional Poverty Index,0.37
Mỹ Đức,Multidimensional Poverty Index,0.69
Nam Phù,Multidimensional Poverty Index,0.22
Nghĩa Đô,Multidimensional Poverty Index,0.31
Ngọc Hà,Multidimensional Poverty Index,0.25
Ngọc Hồi,Multidimensional Poverty Index,0.24
Nội Bài,Multidimensional Poverty Index,0.07
Ô Chợ Dừa,Multidimensional Poverty Index,0.33
Ô Diên,Multidimensional Poverty Index,0.5
Phú Cát,Multidimensional Poverty Index,0.42
Phú Diễn,Multidimensional Poverty Index,0.38
Phù Đổng,Multidimensional Poverty Index,0.7
Phú Lương,Multidimensional Poverty Index,0.55
Phú Nghĩa,Multidimensional Poverty Index,0.32
Phú Thượng,Multidimensional Poverty Index,0.29
Phú Xuyên,Multidimensional Poverty Index,0.74
Phúc Lộc,Multidimensional Poverty Index,0.84
Phúc Lợi,Multidimensional Poverty Index,0.41
Phúc Sơn,Multidimensional Poverty Index,0.63
Phúc Thịnh,Multidimensional Poverty Index,0.71
Phúc Thọ,Multidimensional Poverty Index,0.82
Phượng Dực,Multidimensional Poverty Index,0.81
Phương Liệt,Multidimensional Poverty Index,0.51
Quảng Bị,Multidimensional Poverty Index,0.33
Quang Minh,Multidimensional Poverty Index,0.23
Quảng Oai,Multidimensional Poverty Index,0.46
Quốc Oai,Multidimensional Poverty Index,0.5
Sóc Sơn,Multidimensional Poverty Index,0.06
Sơn Đồng,Multidimensional Poverty Index,0.69
Sơn Tây,Multidimensional Poverty Index,0.91
Suối Hai,Multidimensional Poverty Index,0.4
Tam Hưng,Multidimensional Poverty Index,0.55
Tây Hồ,Multidimensional Poverty Index,0.15
Tây Mỗ,Multidimensional Poverty Index,0.69
Tây Phương,Multidimensional Poverty Index,0.5
Tây Tựu,Multidimensional Poverty Index,0.42
Thạch Thất,Multidimensional Poverty Index,0.56
Thanh Liệt,Multidimensional Poverty Index,0.31
Thanh Oai,Multidimensional Poverty Index,0.53
Thanh Trì,Multidimensional Poverty Index,0.19
Thanh Xuân,Multidimensional Poverty Index,0.54
Thiên Lộc,Multidimensional Poverty Index,0.77
Thư Lâm,Multidimensional Poverty Index,0.73
Thuận An,Multidimensional Poverty Index,0.69
Thượng Cát,Multidimensional Poverty Index,0.47
Thượng Phúc,Multidimensional Poverty Index,0.59
Thường Tín,Multidimensional Poverty Index,0.52
Tiến Thắng,Multidimensional Poverty Index,0.17
Trần Phú,Multidimensional Poverty Index,0.33
Trung Giã,Multidimensional Poverty Index,0.03
Từ Liêm,Multidimensional Poverty Index,0.6
Tùng Thiện,Multidimensional Poverty Index,0.84
Tương Mai,Multidimensional Poverty Index,0.44
Ứng Hòa,Multidimensional Poverty Index,0.86
Ứng Thiên,Multidimensional Poverty Index,0.83
Vân Đình,Multidimensional Poverty Index,0.83
Văn Miếu - Quốc Tử Giám,Multidimensional Poverty Index,0.3
Vật Lại,Multidimensional Poverty Index,0.37
Việt Hưng,Multidimensional Poverty Index,0.42
Vĩnh Hưng,Multidimensional Poverty Index,0.45
Vĩnh Thanh,Multidimensional Poverty Index,0.83
Vĩnh Tuy,Multidimensional Poverty Index,0.39
Xuân Đỉnh,Multidimensional Poverty Index,0.27
Xuân Mai,Multidimensional Poverty Index,0.31
Xuân Phương,Multidimensional Poverty Index,0.63
Yên Bài,Multidimensional Poverty Index,0.41
Yên Hòa,Multidimensional Poverty Index,0.42
Yên Lãng,Multidimensional Poverty Index,0.26
Yên Nghĩa,Multidimensional Poverty Index,0.55
Yên Sở,Multidimensional Poverty Index,0.35
Yên Xuân,Multidimensional Poverty Index,0.47
An Khánh,Cooking fuel,0.81
Ba Đình,Cooking fuel,0.53
Ba Vì,Cooking fuel,0.91
Bạch Mai,Cooking fuel,0.48
Bất Bạt,Cooking fuel,0.91
Bát Tràng,Cooking fuel,0.78
Bình Minh,Cooking fuel,0.86
Bồ Đề,Cooking fuel,0.63
Cầu Giấy,Cooking fuel,0.46
Chương Dương,Cooking fuel,0.91
Chương Mỹ,Cooking fuel,0.88
Chuyên Mỹ,Cooking fuel,0.91
Cổ Đô,Cooking fuel,0.91
Cửa Nam,Cooking fuel,0.51
Đa Phúc,Cooking fuel,0.93
Đại Mỗ,Cooking fuel,0.55
Đại Thanh,Cooking fuel,0.73
Đại Xuyên,Cooking fuel,0.91
Dân Hòa,Cooking fuel,0.92
Đan Phượng,Cooking fuel,0.9
Định Công,Cooking fuel,0.56
Đoài Phương,Cooking fuel,0.92
Đông Anh,Cooking fuel,0.87
Đống Đa,Cooking fuel,0.47
Đông Ngạc,Cooking fuel,0.69
Dương Hòa,Cooking fuel,0.86
Dương Nội,Cooking fuel,0.63
Gia Lâm,Cooking fuel,0.8
Giảng Võ,Cooking fuel,0.5
Hạ Bằng,Cooking fuel,0.91
Hà Đông,Cooking fuel,0.58
Hai Bà Trưng,Cooking fuel,0.49
Hát Môn,Cooking fuel,0.92
Hòa Lạc,Cooking fuel,0.91
Hòa Phú,Cooking fuel,0.94
Hòa Xá,Cooking fuel,0.94
Hoài Đức,Cooking fuel,0.83
Hoàn Kiếm,Cooking fuel,0.52
Hoàng Liệt,Cooking fuel,0.6
Hoàng Mai,Cooking fuel,0.5
Hồng Hà,Cooking fuel,0.58
Hồng Sơn,Cooking fuel,0.93
Hồng Vân,Cooking fuel,0.89
Hưng Đạo,Cooking fuel,0.9
Hương Sơn,Cooking fuel,0.92
Khương Đình,Cooking fuel,0.48
Kiến Hưng,Cooking fuel,0.61
Kiều Phú,Cooking fuel,0.92
Kim Anh,Cooking fuel,0.93
Kim Liên,Cooking fuel,0.48
Láng,Cooking fuel,0.47
Liên Minh,Cooking fuel,0.92
Lĩnh Nam,Cooking fuel,0.59
Long Biên,Cooking fuel,0.62
Mê Linh,Cooking fuel,0.92
Minh Châu,Cooking fuel,0.91
Mỹ Đức,Cooking fuel,0.92
Nam Phù,Cooking fuel,0.76
Nghĩa Đô,Cooking fuel,0.5
Ngọc Hà,Cooking fuel,0.5
Ngọc Hồi,Cooking fuel,0.79
Nội Bài,Cooking fuel,0.93
Ô Chợ Dừa,Cooking fuel,0.5
Ô Diên,Cooking fuel,0.88
Phú Cát,Cooking fuel,0.92
Phú Diễn,Cooking fuel,0.58
Phù Đổng,Cooking fuel,0.82
Phú Lương,Cooking fuel,0.68
Phú Nghĩa,Cooking fuel,0.94
Phú Thượng,Cooking fuel,0.64
Phú Xuyên,Cooking fuel,0.91
Phúc Lộc,Cooking fuel,0.93
Phúc Lợi,Cooking fuel,0.65
Phúc Sơn,Cooking fuel,0.93
Phúc Thịnh,Cooking fuel,0.92
Phúc Thọ,Cooking fuel,0.93
Phượng Dực,Cooking fuel,0.91
Phương Liệt,Cooking fuel,0.46
Quảng Bị,Cooking fuel,0.94
Quang Minh,Cooking fuel,0.93
Quảng Oai,Cooking fuel,0.91
Quốc Oai,Cooking fuel,0.9
Sóc Sơn,Cooking fuel,0.93
Sơn Đồng,Cooking fuel,0.81
Sơn Tây,Cooking fuel,0.92
Suối Hai,Cooking fuel,0.91
Tam Hưng,Cooking fuel,0.91
Tây Hồ,Cooking fuel,0.55
Tây Mỗ,Cooking fuel,0.62
Tây Phương,Cooking fuel,0.91
Tây Tựu,Cooking fuel,0.7
Thạch Thất,Cooking fuel,0.91
Thanh Liệt,Cooking fuel,0.62
Thanh Oai,Cooking fuel,0.92
Thanh Trì,Cooking fuel,0.7
Thanh Xuân,Cooking fuel,0.46
Thiên Lộc,Cooking fuel,0.9
Thư Lâm,Cooking fuel,0.91
Thuận An,Cooking fuel,0.83
Thượng Cát,Cooking fuel,0.73
Thượng Phúc,Cooking fuel,0.91
Thường Tín,Cooking fuel,0.9
Tiến Thắng,Cooking fuel,0.93
Trần Phú,Cooking fuel,0.94
Trung Giã,Cooking fuel,0.93
Từ Liêm,Cooking fuel,0.55
Tùng Thiện,Cooking fuel,0.92
Tương Mai,Cooking fuel,0.49
Ứng Hòa,Cooking fuel,0.94
Ứng Thiên,Cooking fuel,0.94
Vân Đình,Cooking fuel,0.94
Văn Miếu - Quốc Tử Giám,Cooking fuel,0.5
Vật Lại,Cooking fuel,0.91
Việt Hưng,Cooking fuel,0.65
Vĩnh Hưng,Cooking fuel,0.49
Vĩnh Thanh,Cooking fuel,0.85
Vĩnh Tuy,Cooking fuel,0.49
Xuân Đỉnh,Cooking fuel,0.6
Xuân Mai,Cooking fuel,0.94
Xuân Phương,Cooking fuel,0.65
Yên Bài,Cooking fuel,0.91
Yên Hòa,Cooking fuel,0.45
Yên Lãng,Cooking fuel,0.93
Yên Nghĩa,Cooking fuel,0.67
Yên Sở,Cooking fuel,0.59
Yên Xuân,Cooking fuel,0.91
An Khánh,Housing,0.03
Ba Đình,Housing,0.01
Ba Vì,Housing,0.05
Bạch Mai,Housing,0.01
Bất Bạt,Housing,0.05
Bát Tràng,Housing,0.02
Bình Minh,Housing,0.01
Bồ Đề,Housing,0.03
Cầu Giấy,Housing,0.02
Chương Dương,Housing,0.05
Chương Mỹ,Housing,0.01
Chuyên Mỹ,Housing,0.02
Cổ Đô,Housing,0.05
Cửa Nam,Housing,0.01
Đa Phúc,Housing,0.01
Đại Mỗ,Housing,0.03
Đại Thanh,Housing,0.03
Đại Xuyên,Housing,0.02
Dân Hòa,Housing,0.01
Đan Phượng,Housing,0.03
Định Công,Housing,0.03
Đoài Phương,Housing,0.05
Đông Anh,Housing,0.01
Đống Đa,Housing,0.01
Đông Ngạc,Housing,0.02
Dương Hòa,Housing,0.04
Dương Nội,Housing,0.03
Gia Lâm,Housing,0.02
Giảng Võ,Housing,0.01
Hạ Bằng,Housing,0.04
Hà Đông,Housing,0.03
Hai Bà Trưng,Housing,0.01
Hát Môn,Housing,0.05
Hòa Lạc,Housing,0.05
Hòa Phú,Housing,0.01
Hòa Xá,Housing,0.03
Hoài Đức,Housing,0.03
Hoàn Kiếm,Housing,0.01
Hoàng Liệt,Housing,0.03
Hoàng Mai,Housing,0.02
Hồng Hà,Housing,0.02
Hồng Sơn,Housing,0.05
Hồng Vân,Housing,0.05
Hưng Đạo,Housing,0.01
Hương Sơn,Housing,0.05
Khương Đình,Housing,0.02
Kiến Hưng,Housing,0.03
Kiều Phú,Housing,0.01
Kim Anh,Housing,0.01
Kim Liên,Housing,0.01
Láng,Housing,0.01
Liên Minh,Housing,0.03
Lĩnh Nam,Housing,0.02
Long Biên,Housing,0.03
Mê Linh,Housing,0.01
Minh Châu,Housing,0.05
Mỹ Đức,Housing,0.05
Nam Phù,Housing,0.04
Nghĩa Đô,Housing,0.01
Ngọc Hà,Housing,0.02
Ngọc Hồi,Housing,0.04
Nội Bài,Housing,0.01
Ô Chợ Dừa,Housing,0.01
Ô Diên,Housing,0.02
Phú Cát,Housing,0.01
Phú Diễn,Housing,0.02
Phù Đổng,Housing,0.01
Phú Lương,Housing,0.02
Phú Nghĩa,Housing,0.0
Phú Thượng,Housing,0.02
Phú Xuyên,Housing,0.03
Phúc Lộc,Housing,0.06
Phúc Lợi,Housing,0.03
Phúc Sơn,Housing,0.04
Phúc Thịnh,Housing,0.01
Phúc Thọ,Housing,0.06
Phượng Dực,Housing,0.02
Phương Liệt,Housing,0.02
Quảng Bị,Housing,0.01
Quang Minh,Housing,0.01
Quảng Oai,Housing,0.05
Quốc Oai,Housing,0.02
Sóc Sơn,Housing,0.01
Sơn Đồng,Housing,0.03
Sơn Tây,Housing,0.05
Suối Hai,Housing,0.05
Tam Hưng,Housing,0.02
Tây Hồ,Housing,0.02
Tây Mỗ,Housing,0.04
Tây Phương,Housing,0.04
Tây Tựu,Housing,0.02
Thạch Thất,Housing,0.05
Thanh Liệt,Housing,0.03
Thanh Oai,Housing,0.01
Thanh Trì,Housing,0.04
Thanh Xuân,Housing,0.02
Thiên Lộc,Housing,0.01
Thư Lâm,Housing,0.01
Thuận An,Housing,0.01
Thượng Cát,Housing,0.02
Thượng Phúc,Housing,0.04
Thường Tín,Housing,0.04
Tiến Thắng,Housing,0.0
Trần Phú,Housing,0.01
Trung Giã,Housing,0.01
Từ Liêm,Housing,0.03
Tùng Thiện,Housing,0.05
Tương Mai,Housing,0.02
Ứng Hòa,Housing,0.02
Ứng Thiên,Housing,0.02
Vân Đình,Housing,0.03
Văn Miếu - Quốc Tử Giám,Housing,0.01
Vật Lại,Housing,0.05
Việt Hưng,Housing,0.03
Vĩnh Hưng,Housing,0.02
Vĩnh Thanh,Housing,0.01
Vĩnh Tuy,Housing,0.02
Xuân Đỉnh,Housing,0.02
Xuân Mai,Housing,0.01
Xuân Phương,Housing,0.04
Yên Bài,Housing,0.05
Yên Hòa,Housing,0.02
Yên Lãng,Housing,0.01
Yên Nghĩa,Housing,0.02
Yên Sở,Housing,0.03
Yên Xuân,Housing,0.04
An Khánh,Assets,0.08
Ba Đình,Assets,0.12
Ba Vì,Assets,0.06
Bạch Mai,Assets,0.12
Bất Bạt,Assets,0.06
Bát Tràng,Assets,0.13
Bình Minh,Assets,0.09
Bồ Đề,Assets,0.15
Cầu Giấy,Assets,0.14
Chương Dương,Assets,0.13
Chương Mỹ,Assets,0.06
Chuyên Mỹ,Assets,0.06
Cổ Đô,Assets,0.06
Cửa Nam,Assets,0.11
Đa Phúc,Assets,0.1
Đại Mỗ,Assets,0.12
Đại Thanh,Assets,0.12
