Organisation Name,Stakeholder catagorization ,Area of Activity in the food system
ASSET : Agroecological and Safe food System Transitions in South East Asia,International community,Service provision
Agriculture and Life Journal,Media,Sociocultural element
Agriculture and Rural Development Bank (Agribank),Private sector,Finance
Agriculture Journal,Media,Sociocultural element
Alliance Bioversity CIAT,International community,Service provision
Asian Development Bank (ADB),International community,Finance
Bac Hong Cooperation,Private sector,Production
Bac Tom food chain,Private sector,National market
CARE international,International community,Service provision
Center for Agricultural Research and Ecological Studies (CARES),Academia and knowledge-based organizations,Service provision
Centre for Development of Community and Environmental Initiatives (C&E),Public sector,Service provision
Centre for Sustainable Rural Development (SRD),Public sector,Service provision
Independent,Other food systems workers,Sociocultural element
Chuc Son Safe Vegetables Cooperative,Private sector,Production
CIRAD,International community,Service provision
Department of Cooperatives and Rural Development (under MARD),Public sector,Institutional elements
Department of Environmental Science Technology - Ministry of Agriculture and Rural Development,Public sector,Institutional elements
DEPOCEN,Private sector,Service provision
Embassy of Ireland in Vietnam,International community,Institutional elements
Delegation of EU to Vietnam,International community,Institutional elements
FHI 360,International community,Service provision
FocusGroupGo Asia,Private sector,Service provision
Food and Agriculture Organization (FAO),International community,Institutional elements
Food Bank Vietnam,International community,Finance
French Agricultural Research Centre for International Development (CIRAD),International community,Service provision
Friedrich Naumann Foundation for Freedom (FNF),International community,Service provision
Fruits & Vegetables Research Institute,Academia and knowledge-based organizations,Service provision
GreenHub,Public sector,Service provision
GRET Vietnam,International community,Service provision
Hanoi CDC,Public sector,Institutional elements
Hanoi Department of Agriculture and Rural Development (DARD),Public sector,Institutional elements
Hanoi Department of Crop Production and Plant Protection,Public sector,Institutional elements
"Hanoi Department of Quality Management of Agriculture, Forestry and Fisheries",Public sector,Institutional elements
Hanoi Food Culture Club,Civil society,National market
Hanoi Medical University (HMU) - School of Preventive Medicine and Public Health,Academia and knowledge-based organizations,Service provision
Hanoi Street Food Association,Civil society,National market
Hanoi TV,Media,Sociocultural element
Hanoi University of Public Health (HUPH),Academia and knowledge-based organizations,Service provision
Hanoi Urban Environment Company (URENCO),Public sector,Service provision
Hanoi Women's Union,Civil society,Organizational elements
Hanoi Youth Union,Civil society,Organizational elements
"HealthBridge Foundation of Canada, Vietnam office",International community,Service provision
HUST,Academia and knowledge-based organizations,Service provision
"ICD, MARD (International Cooperation Division, Ministry of Agriculture and Rural Development)",Public sector,Institutional elements
MARD (Ministry of Agriculture and Rural Development),Public sector,Institutional elements
IFAD,International community,Institutional elements
ILRI,International community,Service provision
Independent,Other food systems workers,NA
Institute for Agricultural Environment,Academia and knowledge-based organizations,Service provision
International Cooperative Department (under MARD),Public sector,Institutional elements
International Fund for Agricultural Development - Vietnam (IFAD),International community,Institutional elements
International Labour Organisation (Vietnam),International community,Institutional elements
International Livestock Research Institute (ILRI) - Vietnam,International community,Service provision
International Potato Center (CIP) - Vietnam,International community,Service provision
International Rice Research Institute (IRRI) - Vietnam,International community,Service provision
IPSARD,Academia and knowledge-based organizations,Service provision
IWCA Vietnam (International Womne's Coffee Alliance Vietnam),Civil society,Organizational elements
Live and Learn (USAID),International community,Service provision
Lotte Mart:,Private sector,International market
Masan Group Corporation,Private sector,International market
Metro Cash & Carry,Private sector,International market
Ministry of Education and Tranining (MoET),Public sector,Institutional elements
Ms. Le Thi Nga,Other food systems workers,Service provision
National Institute of Nutrition (NIN),Academia and knowledge-based organizations,Service provision
Northwest Development Cooperation Center (TABA),Public sector,Service provision
Nutrition and Food safety Institute (NFSI),Academia and knowledge-based organizations,Service provision
Partnership for Sustainable Agriculture in Viet Nam (PSAV),Civil society,Service provision
PAT International,International community,Service provision
Rikolto,International community,Service provision
Saigon Co.op (Co.op Mart/ Co.op Food),Private sector,National market
"School of Chemistry and Life Sciences, Hanoi University of Science and Technology.",Academia and knowledge-based organizations,Service provision
Slow Food Vietnam,International community,Service provision
Slow Food in Hanoi,Public sector,Service provision
Social Policy Ecology Research Institute (SPERI),Public sector,Service provision
TH Group,Private sector,Production
The Centre for Environment and Community Research (CECR),Public sector,Service provision
The Centre for Sustainable Development Studies (CSDS),Public sector,Service provision
The Consultative Institute for Socio-Economic Development of Rural and Mountainous Areas (CISDOMA),Public sector,Service provision
The Hanoi Association for Poor Patients,Civil society,Service provision
The International Women's Coffee Alliance (IWCA),Private sector,Organizational elements
The United Nations Children's Fund (UNICEF),International community,Institutional elements
UNDP,International community,Institutional elements
UNESCO Hanoi,International community,Institutional elements
United Nations Environment Programme (UNEP),International community,Institutional elements
VAAS (Vietnamese Academy for Agricultural Sciences),Academia and knowledge-based organizations,Service provision
Vietnam Agriculture Journal,Media,Sociocultural element
Vietnam Chamber of Commerce and Industry (VCCI) - SME Support Center,Civil society,Service provision
Vietnam Cleaner Production Centre (VNCPC),Public sector,Service provision
Vietnam Coffee and Cocoa Association (VICOFA),Civil society,Organizational elements
Vietnam Consumers Protection Association (VICOPRO),Civil society,Institutional elements
Vietnam Cooperative Alliance (VCA),Civil society,Organizational elements
Vietnam Dairy Products Joint Stock Company (Vinamilk),Private sector,International market
Vietnam Digital Transformation Alliance (VDTA),Civil society,Service provision
Vietnam Farmers' Union,Civil society,Organizational elements
Vietnam Fruit and Vegetable Association,Civil society,Organizational elements
Vietnam Fruit and Vegetables Association (VINAFRUIT),Civil society,Organizational elements
Vietnam Gardening Association (VACVina),Civil society,Service provision
Vietnam Heart Association,Civil society,Service provision
Vietnam Internet of Things Alliance (VIOTA),Civil society,Service provision
Vietnam National University of Agriculture (VNUA),Academia and knowledge-based organizations,Service provision
Vietnam Recycles,Private sector,Service provision
Vietnam Soil Science Society (Hội Khoa học Đất Vietnam),Academia and knowledge-based organizations,Service provision
Vietnam Standards and Quality Association (viết tắt là VINASTAQ),Civil society,Institutional elements
Vietnam Street Food Association,Civil society,National market
Vietnam Women's Union (VWU),Civil society,Organizational elements
Vissan Limited Company,Private sector,National market
VNU University of Science,Academia and knowledge-based organizations,Service provision
VTC16,Media,Sociocultural element
World Bank (WB),International community,Finance
World Health Organization (WHO),International community,Institutional elements
World Vision International Vietnam,International community,Service provision
World Wide Fund For Nature (WWF),International community,Service provision
Sustainable Food Systems Ireland in Vietnam,International community,Service provision
"Sustainable Healthy Diets through Food Systems Transformation (SHiFT) (CGIAR, Alliance)",International community,Service provision
,,
